root_cnpj,cnpj_est,name,date_start,situation,situationDate,cidade,porte,activity
03737569,03737569000122,F. CALDAS AVELINO,1999-11-17,Baixada,2013-01-15,CANTANHEDE,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados"
03734165,03734165000185,ASSOCIACAO COMUNITARIA DO CONJUNTO BRASIL NOVO,1999-12-10,Baixada,2015-02-09,IMPERATRIZ,DEMAIS,Atividades de associações de defesa de direitos sociais
03757236,03757236000165,PAULO P. DA SILVA,2000-04-14,Inapta,2018-09-18,FORTALEZA DOS NOGUEIRAS,MICRO EMPRESA,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03768087,03768087000130,CLUBE DAS MAES NOSSA SENHORA DE FATIMA,1999-09-09,Baixada,2015-02-09,ITAPECURU MIRIM,DEMAIS,Atividades de associações de defesa de direitos sociais
03760374,03760374000101,JONAS B RAMOS,2000-04-18,Baixada,2001-04-17,SAO LUIS,DEMAIS,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida"
03822085,03822085000181,ESCOLA MUNICIPAL SAO JOSE DE RIBAMAR,2000-05-10,Inapta,2019-01-29,PINHEIRO,DEMAIS,Atividades de associações de defesa de direitos sociais
03765266,03765266000113,R. L. B. COELHO,2000-04-13,Baixada,2015-02-09,SAO LUIS,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03815922,03815922000145,FELINTO M. DOS SANTOS JUNIOR,2000-04-27,Baixada,2019-06-13,BARRA DO CORDA,MICRO EMPRESA,Comércio atacadista de animais vivos
03735178,03735178000179,ASSOCIACAO COMUNITARIA DOS MORADORES DO POVOADO FREXEIRAS,1999-07-02,Baixada,2015-02-09,MILAGRES DO MARANHAO,DEMAIS,Atividades de associações de defesa de direitos sociais
03794594,03794594000148,MONTENEGRO DISTRIBUICOES LTDA,2000-05-08,Ativa,2005-06-04,SAO LUIS,EMPRESA DE PEQUENO PORTE,Serviços de entrega rápida
03816771,03816771000140,UNIDADE EXECUTORA 16 DE OUTUBRO,2000-05-18,Baixada,2015-02-09,SANTO AMARO DO MARANHAO,DEMAIS,Ensino fundamental
03692336,03692336000150,CARDOSO E PIRES LTDA,2000-03-14,Ativa,2020-01-16,SAO LUIS,MICRO EMPRESA,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado
03748220,03748220000196,M. SARAIVA SILVA,2000-04-04,Baixada,2008-12-31,PACO DO LUMIAR,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03695412,03695412000181,R2 COMERCIO CONSTRUCAO E SERVICOS LTDA.,2000-02-25,Ativa,2005-11-03,SAO LUIS,DEMAIS,Construção de edifícios
03773021,03773021000138,ASSOCIACAO FOLCORICA CULTURAL BENEFICENTE LIRIO DE SAO JOAO,2000-04-24,Ativa,2005-11-03,SAO LUIS,DEMAIS,Atividades de organizações associativas ligadas à cultura e à arte
03752930,03752930000190,ASPROER,2000-04-13,Ativa,2019-02-26,RIACHAO,DEMAIS,Atividades de associações de defesa de direitos sociais
03831934,03831934000163,ESCOLA MUNICIPAL DR. FELIPE DE SOUSA,2000-05-12,Baixada,2008-12-31,SAO VICENTE FERRER,DEMAIS,Ensino fundamental
03685509,03685509000103,L COSTA COMERCIO,2000-01-26,Baixada,2017-10-27,VITORIA DO MEARIM,MICRO EMPRESA,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados"
03829980,03829980000128,ESCOLA MUNICIPAL ALEXANDRE GOMES,2000-05-09,Ativa,2000-05-09,PINHEIRO,DEMAIS,Atividades de associações de defesa de direitos sociais
03759629,03759629000108,CAZIMIRO COMERCIO E REPRESENTACOES LTDA,2000-04-18,Ativa,2003-10-18,IMPERATRIZ,MICRO EMPRESA,Fabricação de produtos de padaria e confeitaria com predominância de produção própria
03767056,03767056000164,M. DO S. BORGES LOPES,2000-04-10,Baixada,2015-02-09,CURURUPU,DEMAIS,Fabricação de produtos de panificação industrial
03815129,03815129000146,ASSOCIACAO DE MORADORES DO POVOADO BACABA,2000-05-18,Baixada,2015-02-09,MATOES,DEMAIS,Atividades de associações de defesa de direitos sociais
03802806,03802806000191,UEX NASCIMENTO DE MORAES,2000-05-09,Ativa,2019-07-04,SAO RAIMUNDO DAS MANGABEIRAS,DEMAIS,Atividades de associações de defesa de direitos sociais
03798366,03798366000146,CANINHA 93-DISTRIBUIDORA DE BEBIDAS LTDA.,2000-05-08,Baixada,2015-02-09,SAO LUIS,DEMAIS,Comércio atacadista de bebidas não especificadas anteriormente
03825302,03825302000197,G.M. LOPES MATTOS,2000-05-22,Baixada,2010-02-25,SAO LUIS,MICRO EMPRESA,Atividade odontológica
03695726,03695726000184,RAIMUNDO A DA SILVA ALIMENTOS,2000-03-17,Baixada,2008-12-31,CODO,MICRO EMPRESA,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03698773,03698773000181,ASSOCIACAO FOLCLORICA E CULTURAL UNIDOS VENCEREMOS,2000-02-28,Ativa,2005-11-03,SAO LUIS,DEMAIS,Atividades de associações de defesa de direitos sociais
03748336,03748336000125,ASSOCIACAO DOS FRETISTAS DE TRANSPORTES DE CARGAS,2000-04-11,Baixada,2008-12-31,SAO LUIS,DEMAIS,Atividades de associações de defesa de direitos sociais
03797540,03797540000136,A. EDVANE DE A. DA SILVA,2000-04-17,Baixada,2000-07-31,BELA VISTA DO MARANHAO,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03749842,03749842000139,DIRETORIO MUNICIPAL DO PARTIDO SOCIALISTA BRASILEIRO-PSB,1999-08-22,Inapta,2019-01-16,PRESIDENTE MEDICI,DEMAIS,Atividades de organizações políticas
03809146,03809146000170,M. C. B. E SILVA,2000-05-15,Ativa,2005-11-03,SAO LUIS,MICRO EMPRESA,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado
03739781,03739781000129,SOCIEDADE RURAL COMUNITARIA DO POVOADO JUCARAL DO BONFIM,2000-03-20,Baixada,2008-12-31,PAULO RAMOS,DEMAIS,Atividades de associações de defesa de direitos sociais
03821854,03821854000127,ESCOLA MUNICIPAL RAIMUNDO ARAUJO,1999-05-03,Inapta,2019-01-29,PINHEIRO,DEMAIS,Atividades de associações de defesa de direitos sociais
03711509,03711509000130,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO PMDB,2000-03-20,Inapta,2019-01-29,OLINDA NOVA DO MARANHAO,DEMAIS,Administração pública em geral
03706385,03706385000103,M. D. ROSA COMERCIO,2000-03-14,Ativa,2005-11-03,IMPERATRIZ,MICRO EMPRESA,Comércio a varejo de peças e acessórios novos para veículos automotores
03831721,03831721000131,PARTIDO SOCIAL DEMOCRATICO - PSD,2000-05-25,Baixada,2015-02-09,SAO JOAO DOS PATOS,DEMAIS,Atividades de organizações políticas
03692129,03692129000104,Z. M. ROCHA,2000-03-15,Ativa,2006-09-14,ESTREITO,MICRO EMPRESA,Serviços de funerárias
03708040,03708040000180,MOVIMENTO DE MULHERES DO PARQUE ALVORADA E BAIRRO ADJACENTES,2000-02-28,Inapta,2018-11-07,TIMON,DEMAIS,Atividades de associações de defesa de direitos sociais
03761508,03761508000109,ASSOCIACAO MOTO-TAXI DE VIANA-MA,2000-03-22,Baixada,2015-02-09,VIANA,DEMAIS,Atividades de associações de defesa de direitos sociais
03735281,03735281000119,M. BEZERRA CORREA,2000-03-30,Ativa,2005-11-03,PACO DO LUMIAR,MICRO EMPRESA,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03819462,03819462000123,INSTITUTO DE EDUCACAO SUPERIOR SANTA VITORIA LTDA,2000-05-04,Inapta,2018-11-06,SAO LUIS,DEMAIS,Educação superior - graduação
03753884,03753884000143,ASSOCIACAO COMUNITARIA DOS MORADORES DO POVOADO BOMFIM,2000-04-17,Baixada,2008-12-31,COELHO NETO,DEMAIS,Atividades de associações de defesa de direitos sociais
03797722,03797722000107,CAIXA ESCOLAR DA ESCOLA GASTAO DIAS VIEIRA,2000-05-10,Ativa,2019-06-12,SANTA HELENA,DEMAIS,Ensino fundamental
03797714,03797714000160,CAIXA ESCOLAR DA ESCOLA HEMETERIO MARCOS WEBA,2000-05-10,Ativa,2019-02-18,SANTA HELENA,DEMAIS,Ensino fundamental
03749836,03749836000181,J. S. DE HOLANDA COMERCIO,2000-03-30,Ativa,2005-11-03,SANTA LUZIA,EMPRESA DE PEQUENO PORTE,Comércio varejista de materiais de construção em geral
03721605,03721605000160,A COSTA DIAS COMERCIO E CONSTRUCOES,2000-03-28,Inapta,2019-01-29,SAO DOMINGOS DO AZEITAO,MICRO EMPRESA,Limpeza em prédios e em domicílios
03793634,03793634000137,R S TAVARES SERVICOS LTDA,2000-05-09,Ativa,2005-11-03,COROATA,MICRO EMPRESA,Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente
03727436,03727436000175,ACADEMIA H2O LTDA,2000-03-22,Ativa,2003-10-18,SAO LUIS,MICRO EMPRESA,Atividades de condicionamento físico
03810288,03810288000158,M. DA C. DE MORAES SILVA,2000-04-19,Baixada,2015-02-09,SAO LUIS,DEMAIS,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03778000,03778000000105,J. F. B. FRAZAO COMERCIO,2000-04-27,Ativa,2005-11-03,IMPERATRIZ,MICRO EMPRESA,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios"
03793720,03793720000140,D TRINDADE SOUSA,2000-05-08,Ativa,2008-09-17,BACABAL,MICRO EMPRESA,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida"
03729962,03729962000174,J. RIBAMAR DA SILVA JUNIOR,2000-03-31,Inapta,2018-11-06,SAO LUIS,MICRO EMPRESA,Comércio varejista de medicamentos veterinários
03828538,03828538000187,ESCOLA MUNICIPAL ABILIO LOUREIRO,2000-05-03,Ativa,2005-11-03,PINHEIRO,DEMAIS,Atividades de associações de defesa de direitos sociais
03777483,03777483000123,J. S. DA SILVA COMERCIO,2000-04-26,Inapta,2018-09-18,SAO LUIS,DEMAIS,Comercio varejista de artigos de armarinho
03739789,03739789000195,ASSOCIACAO RURAL COMUNITARIA DO POVOADO CENTRO DO BAIANO,2000-03-27,Baixada,2015-02-09,PAULO RAMOS,DEMAIS,Atividades de associações de defesa de direitos sociais
03684928,03684928000120,D O LOPES COMERCIO,2000-03-10,Baixada,2008-11-26,SAO LUIS,MICRO EMPRESA,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns"
03737629,03737629000107,BRUNO L. PINHEIRO,2000-03-28,Inapta,2018-09-18,SAO LUIS,MICRO EMPRESA,Comércio varejista de bebidas
03822077,03822077000135,MILTON ALVES CAVALCANTE,2000-05-19,Inapta,2018-09-18,ESTREITO,MICRO EMPRESA,Campings
03824055,03824055000104,ASSOCIACAO DOS PROFISSINAIS EM CONTABILIDADE EM BACABAL,2000-03-31,Ativa,2000-03-31,BACABAL,DEMAIS,Atividades de associações de defesa de direitos sociais
03825864,03825864000130,OSMAR F. DA SILVA FILHO,2000-05-23,Baixada,2008-12-31,PORTO FRANCO,MICRO EMPRESA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional"
03773290,03773290000102,SINDICATO DOS TRABALHADORES E TRABALHADORAS RURAIS DE FORMOSA DA SERRA NEGRA - MA,1999-01-12,Ativa,2005-11-03,FORMOSA DA SERRA NEGRA,DEMAIS,Atividades de organizações sindicais
03759942,03759942000146,RAIMUNDA DE S. SANTOS,2000-04-11,Ativa,2005-11-03,PACO DO LUMIAR,MICRO EMPRESA,Comércio varejista de artigos de colchoaria
03814309,03814309000103,UNIDADE EXECUTORA CONSELHO ESCOLAR CONSTANCIO ALVES DOS SANTOS,2000-05-15,Ativa,2018-12-19,PRESIDENTE JUSCELINO,DEMAIS,Ensino fundamental
